country,activity,year,month,date,state,region,district,school_type,treatment,treat_phase,urban,student_id,grade,level,female,class_size,multigrade,age,language,clpm,clspm,csspm,cwpm,cnonwpm,unt_orf,orf,letter_score,letter_score_pcnt,letter_time_remain,letter_attempted,letter_attempted_pcnt,letter_sound_score,letter_sound_score_pcnt,letter_sound_time_remain,letter_sound_attempted,letter_sound_attempted_pcnt,fam_word_score,fam_word_score_pcnt,fam_word_time_remain,fam_word_attempted,fam_word_attempted_pcnt,oral_read_score,oral_read_score_pcnt,oral_read_time_remain,oral_read_attempted,oral_read_attempted_pcnt,read_comp_score,read_comp_score_pcnt,read_comp_attempted,read_comp_attempted_pcnt,unt_oral_read_score,unt_oral_read_score_pcnt,unt_oral_read_time_remain,unt_oral_read_attempted,unt_oral_read_attempted_pcnt,unt_read_comp_score,unt_read_comp_score_pcnt,unt_read_comp_attempted,unt_read_comp_attempted_pcnt,list_comp_score,list_comp_score_pcnt,list_comp_attempted,list_comp_attempted_pcnt,pa_num_sound_score,pa_num_sound_score_pcnt,pa_num_sound_attempted,pa_num_sound_attempted_pcnt,pa_phon_sound_score,pa_phon_sound_score_pcnt,pa_phon_sound_attempted,pa_phon_sound_attempted_pcnt,pa_diff_init_sound_score,pa_diff_init_sound_score_pcnt,pa_diff_init_sound_attempted,pa_diff_init_sound_attempted_pcnt,pa_init_sound_score,pa_init_sound_score_pcnt,pa_init_sound_attempted,pa_init_sound_attempted_pcnt,syllable_sound_score,syllable_sound_score_pcnt,syllable_sound_time_remain,syllable_sound_attempted,syllable_sound_attempted_pcnt,vocab_word_score,vocab_word_attempted,eq_orf,eq_oral_read_score,eq_oral_read_score_pcnt,eq_oral_read_attempted,eq_oral_read_attempted_pcnt,final_weight,strata1,strata2,strata3,strata4,strata5,fpc1,fpc2,fpc3,fpc4,fpc5,su1,su2,su3,su4,su5,wt1,wt2,wt3,wt4,wt5,cot_score,cot_attempted,cot_attempted_pcnt,invent_word_score,invent_word_score_pcnt,invent_word_time_remain,invent_word_attempted,invent_word_attempted_pcnt,eq_read_comp_score,eq_read_comp_score_pcnt,eq_read_comp_attempted,eq_read_comp_attempted_pcnt,cohort,intervention,encrypted_school_code
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Full treatment,Baseline,Rural,3114927,3,,Female,,No,11,Amharic,81,,,36,23,,36,81,0.810000002,0,89,0.910112381,,,,,,36,0.720000029,0,39,0.923076928,36,0.580645144,0,41,0.878048778,4,0.800000012,4,1,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1334171,4,1,3,,,54,1,973,,,311,,,,,1,1,2.200000048,,,,,,23,0.460000008,0,29,0.793103456,,,,,,,1ce9c98bf67c00cba91dc9faf8a203eb
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3083635,3,,Female,,No,12,Amharic,8,,,3,4,,8,8,8.00E-02,0,28,0.285714298,,,,,,3,6.00E-02,0,14,0.214285716,8,0.129032254,0,19,0.421052635,0,0,2,0,,,,,,,,,,2,0.400000006,5,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315614164,3,1,3,,,144,54,1000,,,308,,,,,5.960000038,4.519999981,2.700000048,,,,,,4,8.00E-02,0,18,0.222222224,,,,,,,7604fcda0f0a1ea63305fb0ed4745a78
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Benishangul-Gumuz,,,Control,Baseline,Rural,6010216,2,,Female,,No,8,Amharic,0,,,0,0,,0,0,0,30,10,0,,,,,,0,0,30,5,0,0,0,23,8,0,0,0,1,0,,,,,,,,,,1,0.200000003,5,0.200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142104149,9,1,1,,,20,36,913,,,601,,,,,1.950000048,1.850000024,1,,,,,,0,0,29,5,0,,,,,,,b7061897b4e637180ef66cb57e2afd86
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Full treatment,Baseline,Rural,3145804,2,,Female,,No,9,Amharic,66,,,23,22,,27,66,0.660000026,0,70,0.942857146,,,,,,23,0.460000008,0,27,0.851851881,27,0.435483873,0,29,0.931034505,1,0.200000003,2,0.5,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127352685,4,1,1,,,54,1,1008,,,314,,,,,1,1,2.099999905,,,,,,22,0.439999998,0,27,0.814814806,,,,,,,97c39a7ab433ee4a03bd3ee21cb30278
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3062924,3,,Male,,No,12,Amharic,0,,,0,0,,0,0,0,30,10,0,,,,,,0,0,37,5,0,0,0,40,8,0,0,0,0,0,,,,,,,,,,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300741851,3,1,4,,,144,47,911,,,306,,,,,13.38000011,5.179999828,1,,,,,,0,0,41,5,0,,,,,,,e70b2a03cca2520a4b62e78c7f2dc71a
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3020624,3,,Male,,No,9,Amharic,48,,,57.59999847,23,,47,48,0.479999989,0,51,0.941176474,,,,,,48,0.959999979,10,50,0.959999979,47,0.758064508,0,53,0.886792481,1,0.200000003,5,0.200000003,,,,,,,,,,2,0.400000006,5,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854837358,3,1,4,,,144,50,911,,,302,,,,,12.02000046,5.269999981,3.109999895,,,,,,23,0.460000008,0,30,0.766666651,,,,,,,05894616ff328b98317568e2c9c665e5
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Harari,,,Full treatment,Baseline,Urban,13040838,3,,Male,,No,9,Afan Oromo,56,,,24,15,,33,56,0.560000002,0,59,0.949152529,,,,,,24,0.479999989,0,30,0.800000012,33,0.540983617,0,42,0.785714269,2,0.333333343,4,0.5,,,,,,,,,,5,0.833333313,6,0.833333313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319973737,14,1,4,,,1,1,231,,,1311,,,,,1,1,2.069999933,,,,,,15,0.300000012,0,25,0.600000024,,,,,,,9d1ce738c862f957e162e1543c046e43
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Harari,,,Full treatment,Baseline,Urban,13040812,2,,Female,,No,8,Afan Oromo,67,,,0,0,,0,67,0.670000017,0,70,0.95714283,,,,,,0,0,24,7,0,0,0,33,6,0,0,0,1,0,,,,,,,,,,4,0.666666687,6,0.666666687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154576689,14,1,1,,,1,1,171,,,1311,,,,,1,1,1,,,,,,0,0,21,5,0,,,,,,,9d1ce738c862f957e162e1543c046e43
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Oromiya,,,Control,Baseline,Rural,4041714,2,,Male,,No,10,Afan Oromo,43,,,16,14,,19,43,0.430000007,0,57,0.754385948,,,,,,16,0.319999993,0,16,1,19,0.311475396,0,19,1,1,0.166666672,2,0.5,,,,,,,,,,3,0.5,6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.630217314,5,1,2,,,301,37,1562,,,404,,,,,41.49000168,3.230000019,2.900000095,,,,,,14,0.280000001,0,17,0.823529422,,,,,,,b533703931ef1cbf58055c3b50719ccc
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Oromiya,,,Full treatment,Baseline,Rural,4135519,3,,Female,,No,9,Afan Oromo,28,,,0,0,,6,28,0.280000001,0,36,0.777777791,,,,,,0,0,13,5,0,6,9.84E-02,0,14,0.428571433,2,0.333333343,6,0.333333343,,,,,,,,,,6,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17554234,6,1,3,,,98,1,1152,,,413,,,,,1,1,3.200000048,,,,,,0,0,36,5,0,,,,,,,dccfda65fc3b507e7bf80e0e321a8ade
